"นักวิจัย","คณะ","ภาควิชา","Scopus ID","Scopus URL","ORCID","Documents","Citations","Cited Docs","h-index"
"อพันตรี พูลพุทธา","คณะศึกษาศาสตร์","ภาควิชาวิจัยและพัฒนาการศึกษา","57919367400","https://www.scopus.com/authid/detail.uri?authorId=57919367400","","19","22","20","2"

"Title","Year","Type","Source Title","Volume","Issue","Pages","Authors","Citations","DOI","Scopus URL","EID"
"Improving Grade 9 students’ mathematics achievement in similarity through game-based learning","2026","Journal","International Journal of Advanced and Applied Sciences","13","3","pp. 174–179","Soontharin P., Boonsa J., Poonputta A.","0","10.21833/ijaas.2026.03.017","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105037081355&origin=inward","2-s2.0-105037081355"
"Developing mathematics problem-solving skills among Thai grade 5 students using the KWDL learning management technique","2025","Journal","International Journal of Advanced and Applied Sciences","12","9","pp. 186–191","Kinasoon N., Petchsangharn P., Poonputta A.","0","10.21833/ijaas.2025.09.018","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105015084248&origin=inward","2-s2.0-105015084248"
"Empowering grade 8 learners through game-based learning: Enhancing achievement in square and cube roots","2025","Journal","International Journal of Advanced and Applied Sciences","12","6","pp. 13–20","Thanma C., Srimunta Y., Poonputta A.","0","10.21833/ijaas.2025.06.002","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105008998171&origin=inward","2-s2.0-105008998171"
"Development of teachers’ teaching assessment form according to visible learning theory","2025","Journal","Kasetsart Journal of Social Sciences","46","2","","Chomeya R., Poonputta A., Intasena A., Piyakun A.","0","10.34044/j.kjss.2025.46.2.18","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105014283900&origin=inward","2-s2.0-105014283900"
"Enhancing mathematics preservice teachers' learning achievement and research instrument development skills using a learning activity package","2025","Journal","International Journal of Innovative Research and Scientific Studies","8","3","pp. 1573–1579","Poonputta A.","0","10.53894/ijirss.v8i3.6838","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105006845800&origin=inward","2-s2.0-105006845800"
"Causal Factors Influencing the Mathematical Reasoning Ability of Grade 6 Students","2025","Journal","Educational Process International Journal","17","","","Khontee K., Poonputta A.","0","10.22521/edupij.2025.17.297","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105009777224&origin=inward","2-s2.0-105009777224"
"Developing Pre-service Teachers' Mathematics Teaching Skills and Attitude through Project-Based Learning and Reflective Learning","2025","Journal","Educational Process International Journal","16","","","Poonputta A., Sakorn W.","0","10.22521/edupij.2025.16.216","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105005464420&origin=inward","2-s2.0-105005464420"
"Developing a Systems Thinking Skills Assessment for Upper Primary Students in Thailand","2025","Journal","Educational Process International Journal","14","","","Upapong T., Poonputta A.","0","10.22521/edupij.2025.14.80","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105000311106&origin=inward","2-s2.0-105000311106"
"A model of developing mathematics teachers to enhance the use of TPACK, PBL, CBL, and CLIL integrated learning","2025","Journal","International Journal of Innovative Research and Scientific Studies","8","3","pp. 3101–3109","Poonputta A., Intasena A., Worapun W.","0","10.53894/ijirss.v8i3.7170","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105006688525&origin=inward","2-s2.0-105006688525"
"Enhancing Thai language teachers' learning management skills through a TPACK, PBL, CBL, and CLIL model","2025","Journal","International Journal of Advanced and Applied Sciences","12","1","pp. 256–262","Intasena A., Worapun W., Poonputta A.","0","10.21833/ijaas.2025.01.024","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85217054804&origin=inward","2-s2.0-85217054804"
"Utilizing Integrated Think-Pair-Share and SSCS Techniques to Enhance Problem-Solving Skills in Mathematical Set among 10th Grade Students","2024","Journal","Journal of Curriculum and Teaching","13","4","pp. 295–303","Hansuk S., Jansoda S., Poonputta A.","0","10.5430/jct.v13n4p295","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85201753690&origin=inward","2-s2.0-85201753690"
"Impact of activity-based learning on understanding linear and quadratic functions: An evaluation of student performance and satisfaction in a Thai high school","2024","Journal","International Journal of Advanced and Applied Sciences","11","6","pp. 139–146","Thonhongsa P., Srithammasatn S., Poonputta A.","0","10.21833/ijaas.2024.06.015","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85198251157&origin=inward","2-s2.0-85198251157"
"Bridging the Educational Gap: Guidelines for Thai Non-Credentialed Teachers' Learning Management","2024","Journal","Journal of Curriculum and Teaching","13","1","pp. 170–179","Intasena A., Worapun W., Poonputta A.","0","10.5430/jct.v13n1p170","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85185803132&origin=inward","2-s2.0-85185803132"
"Improving the statistical competence and collaborative skills of preservice teachers through learning by teaching and project-based learning","2024","Journal","International Journal of Innovative Research and Scientific Studies","7","4","pp. 1542–1550","Poonputta A., Sarnkong R.","1","10.53894/ijirss.v7i4.3453","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85203604106&origin=inward","2-s2.0-85203604106"
"A Model Framework for Enhancing Twenty-First Century Competencies in Primary School Teachers within Northeastern Thailand's SubArea","2024","Journal","International Journal of Learning Teaching and Educational Research","23","1","pp. 98–113","Poonputta A., Nuangchalerm P.","4","10.26803/ijlter.23.1.6","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85184005626&origin=inward","2-s2.0-85184005626"
"Problem-Based Learning Approach for Developing Learning Management Skills in Undergraduate Mathematics Education","2023","Journal","International Journal of Learning Teaching and Educational Research","22","9","pp. 296–309","Ranmechai S., Poonputta A.","0","10.26803/ijlter.22.9.16","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85174034287&origin=inward","2-s2.0-85174034287"
"The Impact of Project-Based and Experiential Learning Integration on Pre-Service Teacher Achievement in Evaluation and Assessment","2023","Journal","International Journal of Learning Teaching and Educational Research","22","7","pp. 356–370","Poonputta A.","4","10.26803/ijlter.22.7.19","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85167970047&origin=inward","2-s2.0-85167970047"
"Investigating the effectiveness of TPACK and TGT in enhancing histogram learning achievement among eighth-grade students","2023","Journal","International Journal of Innovative Research and Scientific Studies","6","4","pp. 1015–1022","Promwongsai A., Poonputta A.","2","10.53894/ijirss.v6i4.2232","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85178416786&origin=inward","2-s2.0-85178416786"
"Enhancing Measurement Education in Schools: A Study on the Efficacy of STAD (Student Teams Achievement Division) in Undergraduate Mathematics Education","2023","Journal","Journal of Curriculum and Teaching","12","6","pp. 330–337","Ranmechai S., Poonputta A.","0","10.5430/jct.v12n6p330","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85179466091&origin=inward","2-s2.0-85179466091"
"Professional development of active learning management in primary teachers: Small-sized schools study","2022","Journal","International Journal of Advanced and Applied Sciences","9","12","pp. 46–52","Poonputta A., Nuangchalerm P.","3","10.21833/ijaas.2022.12.006","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85142067932&origin=inward","2-s2.0-85142067932"
"Teacher preparation for local development project on students’ self-conduct","2022","Journal","International Journal of Evaluation and Research in Education","11","4","pp. 1923–1929","Intasena A., Poonputta A.","2","10.11591/ijere.v11i4.22239","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85139491698&origin=inward","2-s2.0-85139491698"
