"นักวิจัย","คณะ","ภาควิชา","Scopus ID","Scopus URL","ORCID","Documents","Citations","Cited Docs","h-index"
"อัฐพล อินต๊ะเสนา","คณะศึกษาศาสตร์","ภาควิชาหลักสูตรและการสอน","57920576600","https://www.scopus.com/authid/detail.uri?authorId=57920576600","0000-0003-3628-5805","15","19","18","3"

"Title","Year","Type","Source Title","Volume","Issue","Pages","Authors","Citations","DOI","Scopus URL","EID"
"Developing reading comprehension of Thai primary students through the 5W1H learning management technique integrated with mind mapping","2026","Journal","International Journal of Advanced and Applied Sciences","13","4","pp. 65–71","Phachuenjai S., Intasena A.","0","10.21833/ijaas.2026.04.007","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105037978497&origin=inward","2-s2.0-105037978497"
"Active learning management for enhancing 5th graders' reading literacy: A confirmatory factor analysis approach","2025","Journal","International Journal of Advanced and Applied Sciences","12","10","pp. 195–202","Makaew O., Intasena A., Yotha N.","0","10.21833/ijaas.2025.10.020","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105020724787&origin=inward","2-s2.0-105020724787"
"Development of teachers’ teaching assessment form according to visible learning theory","2025","Journal","Kasetsart Journal of Social Sciences","46","2","","Chomeya R., Poonputta A., Intasena A., Piyakun A.","0","10.34044/j.kjss.2025.46.2.18","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105014283900&origin=inward","2-s2.0-105014283900"
"Enhancing Thai language teachers' learning management skills through a TPACK, PBL, CBL, and CLIL model","2025","Journal","International Journal of Advanced and Applied Sciences","12","1","pp. 256–262","Intasena A., Worapun W., Poonputta A.","0","10.21833/ijaas.2025.01.024","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85217054804&origin=inward","2-s2.0-85217054804"
"A model of developing mathematics teachers to enhance the use of TPACK, PBL, CBL, and CLIL integrated learning","2025","Journal","International Journal of Innovative Research and Scientific Studies","8","3","pp. 3101–3109","Poonputta A., Intasena A., Worapun W.","0","10.53894/ijirss.v8i3.7170","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105006688525&origin=inward","2-s2.0-105006688525"
"Developing a Model to Enhance Teachers' Active Learning Instructional Management in Central Northeastern Thailand","2025","Journal","Educational Process International Journal","16","","","Intasena A., Srimunta T., Yotha N.","0","10.22521/edupij.2025.16.209","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105005065420&origin=inward","2-s2.0-105005065420"
"The effects of concept mapping in enhancing grade 10 students’ learning achievement of literary analysis skills","2025","Journal","Educational Process International Journal","14","","","Phoosomphong K., Intasena A., Srimunta T., Yotha N.","0","10.22521/edupij.2025.14.56","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85219040023&origin=inward","2-s2.0-85219040023"
"Enhancing Reading Literacy in Thai Grade 2 Students through Active Learning Activities","2024","Journal","International Journal of Learning Teaching and Educational Research","23","8","pp. 414–425","Nandee S., Intasena A., Srimunta T.","1","10.26803/ijlter.23.8.21","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85203432478&origin=inward","2-s2.0-85203432478"
"Exploring the Impact of SQ4R Technique on Reading Comprehension in 10th-Grade Students","2024","Journal","Journal of Curriculum and Teaching","13","4","pp. 46–54","Panaputto P., Intasena A., Srimunta T.","0","10.5430/jct.v13n4p46","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85201122004&origin=inward","2-s2.0-85201122004"
"Improving Critical Reading Abilities in 10th Graders: An Active Learning Approach","2024","Journal","International Journal of Learning Teaching and Educational Research","23","3","pp. 186–198","Phimphimon N., Intasena A., Srimunta T., Khantasiri P.","2","10.26803/ijlter.23.3.10","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85189181399&origin=inward","2-s2.0-85189181399"
"Bridging the Educational Gap: Guidelines for Thai Non-Credentialed Teachers' Learning Management","2024","Journal","Journal of Curriculum and Teaching","13","1","pp. 170–179","Intasena A., Worapun W., Poonputta A.","0","10.5430/jct.v13n1p170","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85185803132&origin=inward","2-s2.0-85185803132"
"The ACDEA and STAD techniques in the development of grade 9 student learning achievement on literature value analysis","2024","Journal","International Journal of Innovative Research and Scientific Studies","7","1","pp. 159–165","Lachum J., Intasena A.","2","10.53894/ijirss.v7i1.2572","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85185508313&origin=inward","2-s2.0-85185508313"
"Exploring the Efficacy of HyFlex Learning for Enhancing Reading Comprehension Skills of Secondary School Students: A Research and Development Study","2024","Journal","International Journal of Learning Teaching and Educational Research","23","1","pp. 24–38","Intasena A., Worapun W.","3","10.26803/ijlter.23.1.2","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85184024499&origin=inward","2-s2.0-85184024499"
"Brain-based learning management in primary students: Language literacy studies","2023","Journal","International Journal of Advanced and Applied Sciences","10","6","pp. 107–112","Intasena A., Nuangchalerm P., Srimunta T.","1","10.21833/ijaas.2023.06.013","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85166435509&origin=inward","2-s2.0-85166435509"
"Teacher preparation for local development project on students’ self-conduct","2022","Journal","International Journal of Evaluation and Research in Education","11","4","pp. 1923–1929","Intasena A., Poonputta A.","2","10.11591/ijere.v11i4.22239","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85139491698&origin=inward","2-s2.0-85139491698"
