"นักวิจัย","คณะ","ภาควิชา","Scopus ID","Scopus URL","ORCID","Documents","Citations","Cited Docs","h-index"
"บวรพจน์ ชมภูนุช","คณะศึกษาศาสตร์","ภาควิชาจิตวิทยาการศึกษาและการแนะแนว","57214443144","https://www.scopus.com/authid/detail.uri?authorId=57214443144","0000-0002-4309-9608","24","373","315","10"

"Title","Year","Type","Source Title","Volume","Issue","Pages","Authors","Citations","DOI","Scopus URL","EID"
"Lesson Study and School as a Learning Community to Support Sustainable Development Goals (SDGs): Definition, Literature Review, and Bibliometric Mapping","2027","Journal","Asean Journal of Educational Research and Technology","6","1","pp. 153–170","Chano J., Choompunuch B., Wu C.C.","0","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105041511634&origin=inward","2-s2.0-105041511634"
"Scientific Creativity in Materials Science Education among High School Students through Inquiry-Based Learning and Metacognitive Strategies","2027","Journal","Asean Journal for Science and Engineering in Materials","6","1","pp. 79–90","Boonpratham P., Choompunuch B., Matsuo H.","0","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105047371157&origin=inward","2-s2.0-105047371157"
"Online counseling competences among Thai secondary school advisory teachers: a confirmatory factor analysis","2026","Journal","International Journal of Evaluation and Research in Education","15","4","pp. 2729–2740","Choompunuch B., Lebkhao D., Suk-Erb W., Yurayat P.","0","10.11591/ijere.v15i4.34738","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105047986408&origin=inward","2-s2.0-105047986408"
"Digital Health Literacy, Health Literacy, and Self-Care Behaviors for PM2.5 Protection: Implications for Sustainable Well-Being in Thailand","2026","Journal","Sustainability Switzerland","18","13","","Choompunuch B., Rojanabenjakun P., Chantarasompoch V., Sillabutra J., Ninjeam J., Ounprasertsuk J.","0","10.3390/su18136766","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105045241270&origin=inward","2-s2.0-105045241270"
"Positive body image is a pathway between nature contact and life satisfaction across 58 nations","2026","Journal","Environment International","212","","","Swami V., Voracek M., Stieger S., Aavik T., Ranjbar H.A., Adebayo S.O., Afhami R., Ahmed O., Aimé A., Akel M., Halbusi H.A., Alexias G., Ali K.F., AlpDal N., Alsalhani A.B., ÁlvarezSolas S., Soares Amaral A.C., Andrianto S., Aspden T., Argyrides M., John J.J., Atkin S., Ayandele O., Baceviciene M., Bahbouh R., Ballesio A., Barron D., Bellard A., Bender S.S., Beydaǧ K.D., Birovljević G., Blackburn M., BorjaAlvarez T., Borowiec J., Bozogáňová M., BratlandSanda S., Browning M.H.E.M., BrytekMatera A., Burakova M., ÇakırKoçak Y., Camacho P., Camilleri V.E., Cazzato V., Cerea S., Chaiwutikornwanich A., Chaleeraktrakoon T., Chambers T., Chen Q.W., Chen X., Chien C.L., Chobthamkit P., Choompunuch B., Compte E.J., Corrigan J., Cosmas G., Cowden R.G., CzepczorBernat K., Czub M., da Silva W.R., Dadfar M., Dalley S.E., Dany L., Datu J.A.D., Berbert de Carvalho P.H., de Holanda Coelho G.L., De Jesus A.O.S., Debbabi S.H., Dhakal S., Bernardo F.D., Dimitrova D.D., Dion J., Dixson B., Donofrio S.M., Drysch M., Du H., Dzhambov A.M., ElJor C., Enea V., Eskin M., Farbod F., Farrugia L., Fian L., Fisher M.L., Folwarczny M., Frederick D.A., FullerTyszkiewicz M., Furnham A., García A.A., Geller S., Ghisi M., Ghorbani A., Gomez Martinez M.A., Gradidge S., Graf S., Grano C., Gyene G., Hallit S., Hamdan M., Handelzalts J.E., Hanel P.H.P.","0","10.1016/j.envint.2026.110277","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105040964449&origin=inward","2-s2.0-105040964449"
"Building Mental Health Resilience in Schools: A Quasi-experimental Study of Digital Counseling Training for Secondary Teachers in Thailand","2026","Journal","Iranian Journal of Psychiatry and Behavioral Sciences","20","1","","Choompunuch B., Suk-Erb W., Wuttaphan N., Yurayat P.","0","10.5812/ijpbs-166285","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105045186638&origin=inward","2-s2.0-105045186638"
"Assessing Performance Efficiency and Operational Challenges of Emergency Medical Services in Samut Songkhram, Thailand: A Mixed-Methods Study","2026","Journal","Shiraz E Medical Journal","27","1","","Choompunuch B., Ounprasertsuk J., Wicha A., Benjanirat T.","0","10.5812/semj-164046","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105026885631&origin=inward","2-s2.0-105026885631"
"Exploring Pre-Service Teachers’ Self-Efficacy: The Impact of Community of Practice and Lesson Study","2025","Journal","Education Sciences","15","10","","Sonsupap K., Cojorn K., Choompunuch B., Intakanok C., Seesom C.","0","10.3390/educsci15101357","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105020055515&origin=inward","2-s2.0-105020055515"
"Health-Promoting Behaviors and their Associations with Frailty, Depression, and Social Support in Thai Community-Dwelling Older Adults: A Cross-Sectional Analysis","2025","Journal","Annals of Geriatric Medicine and Research","29","3","pp. 393–402","Choompunuch B., Lebkhao D., Suk-Erb W., Matsuo H.","0","10.4235/agmr.25.0080","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105018221108&origin=inward","2-s2.0-105018221108"
"Hope and Loneliness as Predictors of Quality of Life Among Rural Older Adults in Thailand: A Cross-Sectional Study","2025","Journal","International Journal of Environmental Research and Public Health","22","8","","Choompunuch B., Wuttaphan N., Suk-erb W.","0","10.3390/ijerph22081189","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105014479494&origin=inward","2-s2.0-105014479494"
"Self-Compassion Around the World: Measurement Invariance of the Short Form of the Self-Compassion Scale (SCS-SF) Across 65 Nations, 40 Languages, Gender Identities, and Age Groups","2025","Journal","Mindfulness","16","6","pp. 1569–1596","Swami V., Tran U.S., Voracek M., Aavik T., Ranjbar H.A., Adebayo S.O., Afhami R., Ahmed O., Aimé A., Akel M., Al Halbusi H., Alexias G., Ali K.F., Alp-Dal N., Alsalhani A.B., Álvarez-Solas S., Amaral A.C.S., Andrianto S., Aspden T., Argyrides M., Aruta J.J.B.R., Atkin S., Ayandele O., Baceviciene M., Bahbouh R., Ballesio A., Barron D., Bellard A., Bender S.S., Beydaǧ K.D., Birovljević G., Blackburn M.È., Borja-Alvarez T., Borowiec J., Bozogáňová M., Bratland-Sanda S., Browning M.H.E.M., Brytek-Matera A., Burakova M., Çakır-Koçak Y., Camacho P., Camilleri V.E., Cazzato V., Cerea S., Chaiwutikornwanich A., Chaleeraktrakoon T., Chambers T., Chen Q.W., Chen X., Chien C.L., Chobthamkit P., Choompunuch B., Compte E.J., Corrigan J., Cosmas G., Cowden R.G., Czepczor-Bernat K., Czub M., da Silva W.R., Dadfar M., Dalley S.E., Dany L., Datu J.A.D., de Carvalho P.H.B., de Holanda Coelho G.L., De Jesus A.O.S., Debbabi S.H., Dhakal S., Di Bernardo F., Dimitrova D.D., Dion J., Dixson B., Donofrio S.M., Drysch M., Du H., Dzhambov A.M., El-Jor C., Enea V., Eskin M., Farbod F., Farrugia L., Fian L., Fisher M.L., Folwarczny M., Frederick D.A., Fuller-Tyszkiewicz M., Furnham A., García A.A., Geller S., Ghisi M., Ghorbani A., Martinez M.A.G., Gradidge S., Graf S., Grano C., Gyene G., Hallit S., Hamdan M., Handelzalts J.E., Hanel P.H.P.","2","10.1007/s12671-025-02560-5","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105003258157&origin=inward","2-s2.0-105003258157"
"Overcoming low status or maintaining high status? A multinational examination of the association between socioeconomic status and honour","2025","Journal","British Journal of Social Psychology","64","1","","Sánchez-Rodríguez Á., O'Dea C., Uskul A.K., Kirchner-Häusler A., Vignoles V., Chobthamkit P., Achmad R.A., Andrianto S., Kristanto A.A., Ardi R., Lesmana C.B.J., Castillo V.A., Chaleeraktrakoon T., Zhi A.C.H., Choompunuch B., Cross S.E., Nguyen S.D., Fernandez E.F., Purba F.D., Reyes M.E.S., Yalçın M.G., Siswadi A.G.P., Harb C., Hashim I.H.M., Husnu S., Hutapea B., Le Hoang T.H., Ishii K., Ismail R., Ito K., Suryani L.K., Kaewyodthiwat T., Kafetsios K., Karamaouna P., Kateri E., Khan A., Khieowan N., Lufityanto G., Macapagal M.E.J., Marappan D.a., Matamoros-Lima J., Miniesy R., Yusoff A.M., Na J., Özkan Z., Pagliaro S., Psaltis C., Rabie D., Reinhart M., Ridfah A., Rodriguez-Bailón R., Ishak M.S., Teresi M., Tengco-Pacquing M.C., Thongpibul K., Tri M.T.T., Zwagery R.V., Wisayanti S., Hoon C.Y., Uchida Y.","0","10.1111/bjso.12854","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85216124630&origin=inward","2-s2.0-85216124630"
