"นักวิจัย","คณะ","ภาควิชา","Scopus ID","Scopus URL","ORCID","Documents","Citations","Cited Docs","h-index"
"ชัยรัตน์ ชูสกุล","คณะศึกษาศาสตร์","ภาควิชาวิทยาศาสตร์สุขภาพและการกีฬา","32367577300","https://www.scopus.com/authid/detail.uri?authorId=32367577300","0000-0002-6658-8498","10","82","82","5"

"Title","Year","Type","Source Title","Volume","Issue","Pages","Authors","Citations","DOI","Scopus URL","EID"
"The Mediating Effect Model and Analysis of Sport Emotion on Wushu Routine Sport Performance: Self-Confidence as a Mediating Variable","2026","Journal","International Journal of Body Mind and Culture","13","1","pp. 112–124","Zhang M., Singnoy C., Supwirapakorn W., Choosakul C., Julvanichpong T.","0","10.61838/ijbmc.v13i1.1139","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105029760919&origin=inward","2-s2.0-105029760919"
"Development of an Aerobic Program Combined with Folk Dance to Enhance Health and Active Aging in Older Adults: A Literature Review","2025","Journal","Journal of Exercise Physiology Online","28","3","pp. 9–27","Thonglong T., Choosakul C., Supwirapakorn W., Singnoy C., Julvanichpong T.","1","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105040347020&origin=inward","2-s2.0-105040347020"
"Children’s Fundamental Movement Skills, Social Emotional Development and Physical Activity Development Based on Kids’ Athletics Intervention: SEM Modelling and Analysis","2025","Journal","Physical Education Theory and Methodology","25","2","pp. 382–390","Huang C., Choosakul C.","1","10.17309/tmfv.2025.2.20","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105007530188&origin=inward","2-s2.0-105007530188"
"Building an Index System for Evaluating the Motor Health of Preschool-aged Children from the Perspective of Disciplinary Intersections: A Delphi Study","2025","Journal","Physical Education Theory and Methodology","25","1","pp. 32–43","Du D., Choosakul C.","1","10.17309/tmfv.2025.1.04","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105002631953&origin=inward","2-s2.0-105002631953"
"Extracting Features from Foul Actions of Basketball Players in Real Time Using Machine Vision","2024","Journal","International Journal of Computational Intelligence Systems","17","1","","Du D., Chai L., Li M., Jiang L., Choosakul C., Liu S.","6","10.1007/s44196-024-00435-6","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85188884730&origin=inward","2-s2.0-85188884730"
"An investigation on the application of exercise biomechanics in competitive wushu routine training","2024","Journal","Applied Mathematics and Nonlinear Sciences","9","1","","Guo X., Choosakul C., Wu R.","0","10.2478/amns-2024-1230","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85194354844&origin=inward","2-s2.0-85194354844"
"Results from Thailand's 2016 report card on physical activity for children and youth","2016","Journal","Journal of Physical Activity and Health","13","11","pp. S291–S298","Amornsriwatanakul A., Nakornkhet K., Katewongsa P., Choosakul C., Kaewmanee T., Konharn K., Purakom A., Santiworakul A., Sitilertpisan P., Sriramatr S., Yankai A., Rosenberg M., Bull F.C.","37","10.1123/jpah.2016-0316","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84998590141&origin=inward","2-s2.0-84998590141"
"Relationship between mental skill and anxiety interpretation in secondary school hockey athletes","2009","Journal","European Journal of Social Sciences","9","4","pp. 651–658","Dominikus F., Fauzee M.S.O., Abdullah M.C., Meesin C., Choosakul C.","5","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=70350031354&origin=inward","2-s2.0-70350031354"
"Evaluating the relationship of imagery and self-confidence in female and male athletes","2009","Journal","European Journal of Social Sciences","10","1","pp. 129–142","Rattanakoses R., Omar-Fauzee M.S., Geok S.K., Abdullah M.C., Choosakul C., Nazaruddin M.N., Nordin H.","11","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=70350136458&origin=inward","2-s2.0-70350136458"
"The sport commitment model: An investigation of structural relationships with Thai youth athlete populations","2009","Journal","Measurement in Physical Education and Exercise Science","13","3","pp. 123–139","Choosakul C., Vongjaturapat N., Li F., Harmer P.","11","10.1080/10913670903039563","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=68649115065&origin=inward","2-s2.0-68649115065"
