"นักวิจัย","คณะ","ภาควิชา","Scopus ID","Scopus URL","ORCID","Documents","Citations","Cited Docs","h-index"
"ชวลิต ชูกำแพง","คณะศึกษาศาสตร์","ภาควิชาหลักสูตรและการสอน","36674560300","https://www.scopus.com/authid/detail.uri?authorId=36674560300","0000-0003-0314-1696","20","38","37","3"

"Title","Year","Type","Source Title","Volume","Issue","Pages","Authors","Citations","DOI","Scopus URL","EID"
"Development of Mathematical Problem-Solving Ability Using Polya’s Problem-Solving Process Combined with Bar Models for Grade 4 Students","2025","Journal","Journal of Cultural Analysis and Social Change","10","2","pp. 2793–2798","Chookhampaeng S., Boonton K., Pitchayapirat P., Chookhampaeng C.","0","10.64753/jcasc.v10i2.2001","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105023874950&origin=inward","2-s2.0-105023874950"
"AI-Enhanced Paragraph Retrieval in Academic Databases: Empirical Evaluation of Stability, Robustness, and Adaptive Optimization for Smart Learning Environments","2025","Conference Proceeding","Proceedings 2025 International Symposium on Educational Technology Iset 2025","","","pp. 6–11","Yang W.Z., Chookhampaeng C., Chano J.","0","10.1109/ISET65607.2025.00011","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105015604097&origin=inward","2-s2.0-105015604097"
"Enhancing Precision in Mechanical Equivalent of Heat Measurement: A Dislab-Driven Computational-Experimental Approach for Education and Research","2025","Conference Proceeding","Proceedings 2025 4th International Conference on Computational Modelling Simulation and Optimization Iccmso 2025","","","pp. 378–382","Yang W.Z., Chookhampaeng C., Chano J.","0","10.1109/ICCMSO67468.2025.00072","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105013848076&origin=inward","2-s2.0-105013848076"
"Developing an early childhood Pre-Service Teacher Instructional Model Based on Meaningful Learning Theory to Improve Lesson Design Ability","2025","Journal","Educational Process International Journal","17","","","Ting Z., Chookhampaeng C., Chano J.","1","10.22521/edupij.2025.17.335","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105013584556&origin=inward","2-s2.0-105013584556"
"Dataset: Spatial visualization ability assessment among undergraduate students at Jiaying University","2024","Journal","Data in Brief","55","","","Yang W.Z., Chano J., Chookhampaeng C.","1","10.1016/j.dib.2024.110657","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85197064321&origin=inward","2-s2.0-85197064321"
"Spatial Visualization Ability Assessment for Analyzing Differences and Exploring Influencing Factors: Literature Review with Bibliometrics and Experiment","2024","Journal","Indonesian Journal of Science and Technology","9","1","pp. 191–224","Yang W., Chookhampaeng C., Chano J.","14","10.17509/ijost.v9i1.66774","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85184165920&origin=inward","2-s2.0-85184165920"
"Developing Professional Development (PD) for Vocational Teachers based on the OBE Framework, its Effect on Trainees’ Learning Motivation and Training Satisfaction","2024","Journal","International Journal of Learning Teaching and Educational Research","23","4","pp. 409–431","Wang F., Chookhampaeng C., Chano J.","1","10.26803/ijlter.23.4.22","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85194188756&origin=inward","2-s2.0-85194188756"
"LabVIEW-Based Virtual Polarization Simulation System for Education: Stokes Vectors and Mueller Matrices Integration","2024","Conference Proceeding","Proceedings 2024 3rd International Conference on Computational Modelling Simulation and Optimization Iccmso 2024","","","pp. 297–303","Yang W.Z., Chookhampaeng C., Chano J., Xiong L., Zeng W.B., Deng D.N.","1","10.1109/ICCMSO61761.2024.00067","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85203710952&origin=inward","2-s2.0-85203710952"
"Enhancing Spatial Visualization Skills Through 3D Modeling and Printing: A Comprehensive Dataset from Chinese University Students","2024","Conference Proceeding","Proceedings 2024 7th International Conference on Data Science and Information Technology Dsit 2024","","","","Yang W.Z., Chookhampaeng C., Chano J., Ding Y.H., Liu Y., Gon M.C., Xiong L.","0","10.1109/DSIT61374.2024.10881924","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=86000202235&origin=inward","2-s2.0-86000202235"
"A Hybrid Framework for Digital Experimental Reports: Integrating Chaoxing Platform in Experimental Education","2024","Journal","International Conference on Engineering and Emerging Technologies Iceet","","2024","","Yang W.Z., Luo J.M., Xiao R.J., Chookhampaeng C., Deng D.N., Chano J., Zhong Q.H., Zhang H.N.","0","10.1109/ICEET65156.2024.10913948","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105001319460&origin=inward","2-s2.0-105001319460"
"Problems and Needs Assessment to Learning Management of Computational Thinking of Teachers at the Lower Secondary Level","2023","Journal","Journal of Curriculum and Teaching","12","3","pp. 172–178","Chookhampaeng C., Kamha C., Chookhampaeng S.","1","10.5430/jct.v12n3p172","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85161334180&origin=inward","2-s2.0-85161334180"
"Implementation of a Curriculum to Enhance Learning Management Competency in Computational Thinking for the Lower Secondary Teachers","2023","Journal","Journal of Curriculum and Teaching","12","3","pp. 35–47","Kamha C., Chookhampaeng C.","2","10.5430/JCT.V12N3P35","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85161158646&origin=inward","2-s2.0-85161158646"
