"นักวิจัย","คณะ","ภาควิชา","Scopus ID","Scopus URL","ORCID","Documents","Citations","Cited Docs","h-index"
"ชำนาญ ชินสีห์","คณะศึกษาศาสตร์","ภาควิชาวิทยาศาสตร์สุขภาพและการกีฬา","57192270508","https://www.scopus.com/authid/detail.uri?authorId=57192270508","","18","139","133","6"

"Title","Year","Type","Source Title","Volume","Issue","Pages","Authors","Citations","DOI","Scopus URL","EID"
"Match load & technique differences in winning and losing female youth tennis players on clay courts","2025","Journal","Sport Tk","14","","pp. 1–12","Khamros W., Chinnasee C., Pongsiri T., Chaiyapade W., Rattanasateankij W., Sangkaew T.","0","10.6018/sportk.606031","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105030254823&origin=inward","2-s2.0-105030254823"
"Comparison of electromyographic activation and number of repetitions completed between traditional, hammer and reverse dumbell bicep curl among trained men","2024","Conference Proceeding","Aip Conference Proceedings","2750","1","","Jahizi A.A.M., Malek N.F.A., Tan K., Marsal M.Z., Janep M., Chinnasee C., Nadzalan A.M.","0","10.1063/5.0148594","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85189293855&origin=inward","2-s2.0-85189293855"
"Factors Predicting the Ability to Perform Activities of Daily Living among Stroke Patients in Rural Community Southern Thailand","2024","Journal","Malaysian Journal of Medical Sciences","31","5","pp. 256–266","Kuakool N., Suwankhong D., Boonrod T., Chinnasee C.","0","10.21315/mjms2024.31.5.18","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85207486277&origin=inward","2-s2.0-85207486277"
"Effects of plyometric and mixed-methods power training on ball velocity and kinematic parameters of instep kick after muscle fatigue in amateur futsal players","2023","Journal","Journal of Physical Education and Sport","23","9","pp. 2461–2468","Kaimusik T., Sriramatr S., Chinnasee C.","1","10.7752/jpes.2023.09283","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85176784330&origin=inward","2-s2.0-85176784330"
"Motor ability, activity of daily living and correlation with ischemic stroke: A cross- sectional study in Southern Thailand","2023","Conference Proceeding","ACM International Conference Proceeding Series","","","pp. 347–352","Khunjan P., Boonrod T., Ditsuwan V., Chinnasee C., Khuna L., Simla W., Suwankhong D.","0","10.1145/3608298.3608361","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85178033522&origin=inward","2-s2.0-85178033522"
"‘I need support to continue my Muay Thai career’: A qualitative study on social support amongst Muay Thai fighters in Thailand","2023","Journal","Kasetsart Journal of Social Sciences","44","2","pp. 435–444","Suwankhong D., Liamputtong P., Chinnasee C., Hemapandha W.","0","10.34044/j.kjss.2023.44.2.13","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85163619452&origin=inward","2-s2.0-85163619452"
"The effectiveness of folk physical activity and food education programme on body mass, nutrition knowledge and consumption behaviour among overweight primary school children in Southern Thailand","2022","Journal","Pedagogy of Physical Culture and Sports","26","6","pp. 391–398","Saemoh F., Jeadeng M., Suwankhong D., Chinnasee C., Nadzalan A.M.","2","10.15561/26649837.2022.0605","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85145323968&origin=inward","2-s2.0-85145323968"
"Photovoice method and social inclusion: The lived experience of Nak Muay Thai","2022","Book","Handbook of Social Inclusion Research and Practices in Health and Social Sciences","","","pp. 1331–1350","Suwankhong D., Liamputtong P., Chinnasee C., Hemapandha W.","0","10.1007/978-3-030-89594-5_71","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85159829311&origin=inward","2-s2.0-85159829311"
"THE DIFFERENCE OF ANTHROPOMETRIC CHARACTERISTICS BETWEEN ELITE AND NOVICE BODYBUILDERS IN THAILAND","2022","Journal","Physical Education Theory and Methodology","22","1","pp. 101–105","Sukwong T., Chinnasee P., Prajongjai V., Chinnasee C., Ali M.N., Nur Ikhwan M.","2","10.17309/TMFV.2022.1.14","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85128472541&origin=inward","2-s2.0-85128472541"
"Profiling and Relationship between Sprint Time and Cardiovascular Fitness during In-Season's Training among Professional Soccer Players","2021","Conference Proceeding","Journal of Physics Conference Series","1793","1","","Madarsa N.I., Mohamad N.I., Malek N.F.A., Chinnasee C., Md Nadzalan A.","6","10.1088/1742-6596/1793/1/012058","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85103097218&origin=inward","2-s2.0-85103097218"
