"นักวิจัย","คณะ","ภาควิชา","Scopus ID","Scopus URL","ORCID","Documents","Citations","Cited Docs","h-index"
"จิระพร ชะโน","คณะศึกษาศาสตร์","ภาควิชาหลักสูตรและการสอน","54585017800","https://www.scopus.com/authid/detail.uri?authorId=54585017800","0000-0002-2527-4038","46","267","192","7"

"Title","Year","Type","Source Title","Volume","Issue","Pages","Authors","Citations","DOI","Scopus URL","EID"
"Lesson Study and School as a Learning Community to Support Sustainable Development Goals (SDGs): Definition, Literature Review, and Bibliometric Mapping","2027","Journal","Asean Journal of Educational Research and Technology","6","1","pp. 153–170","Chano J., Choompunuch B., Wu C.C.","0","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105041511634&origin=inward","2-s2.0-105041511634"
"Enhancing Design Thinking through Artificial Intelligence (AI)-Augmented Curriculum to Support Sustainable Development Goals (SDGs) in Chinese Vocational Education: A Bibliometric and Mixed-Methods Study","2026","Journal","Asean Journal of Educational Research and Technology","5","3","pp. 343–360","Yang F., Chano J., Mohamad B.","0","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105041292783&origin=inward","2-s2.0-105041292783"
"Developing a Pedagogical Model Integrating E-Learning, PAD Class, and Project-Based Learning for Innovation and Entrepreneurship Education Aligned with the Sustainable Development Goals (SDGs)","2026","Journal","Asean Journal of Educational Research and Technology","5","2","pp. 149–166","Liu K., Chano J., Seehamongkon Y.","1","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105038388470&origin=inward","2-s2.0-105038388470"
"Policy and Governance in Responsible Management Education: How National Frameworks Enable and Constrain Education–Industry Collaboration in ASEAN","2026","Journal","Business and Society Review","131","3","","Mohamad B., Boonlua S., Chano J., Alhaiou T.A.","0","10.1111/basr.70063","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105045941614&origin=inward","2-s2.0-105045941614"
"The Role of Cooperative Play in Enhancing Social Skills: A Study on Elementary School Students in Indonesia","2026","Journal","Journal of Curriculum and Teaching","15","3","pp. 232–249","Yustiana Y.R., Fauzi I., Yusuf S., Chano J.","0","10.5430/jct.v15n3p232","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105048045307&origin=inward","2-s2.0-105048045307"
"Enhancing Occupational Identity and Self-Efficacy Through a Self-Education Model in Art and Design Education Aligned with Sustainable Development Goals (SDGs)","2026","Journal","Asean Journal of Educational Research and Technology","5","1","pp. 19–46","Yu X., Chano J., Wongsaphan M.","23","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105039253389&origin=inward","2-s2.0-105039253389"
"Mapping the landscape of mindfulness research in educational workplaces: a bibliometric and conceptual analysis (2020–2024)","2026","Journal","Frontiers in Education","11","","","Chano J., Mohamad B., Noirid S., Yurayat P., Nonsuwan A., Thanapatmeemanee H., Tuaypar M., Leamthaisong N., Chookhampaeng C., Sirisittanapak S., Wu C.C.","0","10.3389/feduc.2026.1765432","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105031481481&origin=inward","2-s2.0-105031481481"
"From Beans to Business Brand: Revealing the Brand Loyalty in the Coffee Shop Industry","2026","Journal","Australasian Accounting Business and Finance Journal","20","2","pp. 156–168","Dirgantari P.D., Hidayat Y.M., Sulaksana R.D.I.Z.F., Yuliyanti L., Budiarti I., Sulistyowati R., Chochole T., Chano J.","1","10.14453/aabfj.v20i2.08","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105045793815&origin=inward","2-s2.0-105045793815"
"Enhancing Innovative Thinking through a Theory-Based Instructional Model in Design Education to Support Sustainable Development Goals (SDGs)","2025","Journal","Asean Journal of Educational Research and Technology","4","3","pp. 311–332","Di R., Sawangboon T., Chano J.","22","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105029296950&origin=inward","2-s2.0-105029296950"
"ISLAMIC PEDAGOGICAL COMPETENCIES FOR SUSTAINABLE HOSPITALITY EDUCATION","2025","Journal","Jurnal Pendidikan Islam","11","2","pp. 275–292","Zeng L., Chano J., Mohamad B.","0","10.15575/jpi.v11i2.49883","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105025363450&origin=inward","2-s2.0-105025363450"
"Physical Adaptation of College Students in High-Altitude Training: Empirical Findings and Curriculum Development Insights to Support Sustainable Development Goals (SDGs)","2025","Journal","Asean Journal of Educational Research and Technology","4","2","pp. 215–236","Xing G., Chano J., Thadanatthaphak Y., Wu C.C.","7","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105013853801&origin=inward","2-s2.0-105013853801"
"Metacognitive Cultural Intelligence in Educational Contexts: A Systematic Review of Psychological Mechanisms and Learning Outcomes","2025","Journal","International Online Journal of Education and Teaching","12","2","pp. 130–147","Zheng Z., Chano J., Srisomthawin B., Amornwanitsak S.","0","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105037994330&origin=inward","2-s2.0-105037994330"
"Integrating the ideas of mindful meditation into physical activities to improve executive function skills of kindergarten children","2025","Journal","International Journal of Education and Practice","13","1","pp. 18–29","Chano J.","0","10.18488/61.v13i1.3939","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85217870229&origin=inward","2-s2.0-85217870229"
"A Critical Review on Washback Effect in Education and Its Influence on Curriculum Design","2025","Journal","Forum for Linguistic Studies","7","1","pp. 287–297","Wen X., Chano J.","0","10.30564/fls.v7i1.7893","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85213885810&origin=inward","2-s2.0-85213885810"
"Developing an early childhood Pre-Service Teacher Instructional Model Based on Meaningful Learning Theory to Improve Lesson Design Ability","2025","Journal","Educational Process International Journal","17","","","Ting Z., Chookhampaeng C., Chano J.","1","10.22521/edupij.2025.17.335","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105013584556&origin=inward","2-s2.0-105013584556"
"AI-Enhanced Paragraph Retrieval in Academic Databases: Empirical Evaluation of Stability, Robustness, and Adaptive Optimization for Smart Learning Environments","2025","Conference Proceeding","Proceedings 2025 International Symposium on Educational Technology Iset 2025","","","pp. 6–11","Yang W.Z., Chookhampaeng C., Chano J.","0","10.1109/ISET65607.2025.00011","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105015604097&origin=inward","2-s2.0-105015604097"
"Enhancing English Reading Comprehension and Critical Thinking through Murdoch Integrated Approach: A Language Education Study about Sustainable Development Goals (SDGs)","2025","Journal","International Journal of Language Education","9","2","pp. 212–229","Weerawong P., Chano J., Wu C.","0","10.26858/ijole.v1i2.74935","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105010752178&origin=inward","2-s2.0-105010752178"
"Teaching model development to enhance the creativity for college students in China","2025","Journal","Frontiers in Education","10","","","Huang J., Chookhampang C., Chano J.","0","10.3389/feduc.2025.1598909","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105018515287&origin=inward","2-s2.0-105018515287"
"Mathematical Literacy of Indonesian Elementary School Students: A Case Study of Bandung School","2025","Journal","Journal of Curriculum and Teaching","14","2","pp. 58–72","Fauzi I., Chano J., Wu C.C.","0","10.5430/jct.v14n2p58","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105005010442&origin=inward","2-s2.0-105005010442"
"Mapping the Evolution of Blended Learning in Higher Education: A Bibliometric Analysis of English Language Proficiency Research","2025","Journal","International Journal of Language Education","9","3","pp. 510–530","Chano J., Bonk C.J., Mohamad B.","0","10.26858/ijole.v1i1.77392","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105022847434&origin=inward","2-s2.0-105022847434"
"Determinants Associated with Self-Directed Language Learning of Thai EFL Context: A Review for Future Research on Thai High School Education","2025","Journal","International Journal of Language Education","9","1","pp. 1–17","Damkam T., Chano J., Othman M.K.H.","0","10.26858/ijole.v1i1.71700","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105002467701&origin=inward","2-s2.0-105002467701"
"Enhancing Precision in Mechanical Equivalent of Heat Measurement: A Dislab-Driven Computational-Experimental Approach for Education and Research","2025","Conference Proceeding","Proceedings 2025 4th International Conference on Computational Modelling Simulation and Optimization Iccmso 2025","","","pp. 378–382","Yang W.Z., Chookhampaeng C., Chano J.","0","10.1109/ICCMSO67468.2025.00072","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105013848076&origin=inward","2-s2.0-105013848076"
"Lessons learned in transition: a bibliometric analysis of educational management in school transfer to provincial administrative organizations during decentralization","2025","Journal","Frontiers in Education","10","","","Chano J., Mohamad B., Prabjandee D., Singporn R., Tuaypar M.","0","10.3389/feduc.2025.1435928","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85217539304&origin=inward","2-s2.0-85217539304"
"Bibliometric Analysis Using VOSViewer with Publish or Perish of Metacognition in Teaching English Writing to High School Learners","2024","Journal","Asean Journal of Educational Research and Technology","3","3","pp. 245–254","Damkam T., Chano J.","17","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105011197033&origin=inward","2-s2.0-105011197033"
