"นักวิจัย","คณะ","ภาควิชา","Scopus ID","Scopus URL","ORCID","Documents","Citations","Cited Docs","h-index"
"กัญญารัตน์ โคจร","คณะศึกษาศาสตร์","ภาควิชาหลักสูตรและการสอน","58676173800","https://www.scopus.com/authid/detail.uri?authorId=58676173800","0000-0002-1237-2798","11","45","41","4"

"Title","Year","Type","Source Title","Volume","Issue","Pages","Authors","Citations","DOI","Scopus URL","EID"
"Developing a Mathematics Instructional Model to Enhance Computational Thinking Skills among Pre-service Mathematics Teachers in Support of the Sustainable Development Goals: A Bibliometric Analysis and Empirical Study","2026","Journal","Asean Journal of Educational Research and Technology","5","3","pp. 391–400","Adsawatithisakul N., Cojorn K.","0","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105046815706&origin=inward","2-s2.0-105046815706"
"Scientific Conceptual Understanding in Physics through Momentum and Material-Dependent Collisions Using the Dual Situated Learning Model: A Mixed Methods Action Research Study","2026","Journal","Asean Journal for Science and Engineering in Materials","5","3","pp. 515–532","Kromkhan C., Cojorn K., Seesom C.","0","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105046776990&origin=inward","2-s2.0-105046776990"
"Igniting research competency: Empowering pre-service teachers through communities of practice plus lesson study","2026","Journal","Cakrawala Pendidikan","45","1","pp. 1–15","Cojorn K., Seesom C.","0","10.21831/cp.v45i1.91392","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105031704479&origin=inward","2-s2.0-105031704479"
"Establishing A Community of Practice for Academic Faculty in Higher Education: A Framework for Collaboration and Professional Growth","2026","Journal","Journal of Curriculum and Teaching","15","1","","Cojorn K., Sonsupap K., Seesom C.","0","10.5430/jct.v15n1p254","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105029971679&origin=inward","2-s2.0-105029971679"
"Exploring Pre-Service Teachers’ Self-Efficacy: The Impact of Community of Practice and Lesson Study","2025","Journal","Education Sciences","15","10","","Sonsupap K., Cojorn K., Choompunuch B., Intakanok C., Seesom C.","0","10.3390/educsci15101357","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105020055515&origin=inward","2-s2.0-105020055515"
"EXPLORING THE REPRESENTATIONAL COMPETENCE OF ELEVENTH-GRADE STUDENTS ON THE RATES OF CHEMICAL REACTIONS","2025","Journal","Jurnal Pendidikan IPA Indonesia","14","2","pp. 351–363","Phajan T., Cojorn K., Dien T.N.N.","0","10.15294/jpii.v14i2.24509","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105011329358&origin=inward","2-s2.0-105011329358"
"Exploring the interplay between students' scientific competence and teaching instructors' TPACK: A comprehensive analysis","2025","Journal","International Journal of Innovative Research and Scientific Studies","8","1","pp. 239–247","Sonsupap K., Cojorn K., Sitti S.","0","10.53894/ijirss.v8i1.3750","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85209874016&origin=inward","2-s2.0-85209874016"
"Bridging knowledge and community: Innovative community-based learning to strengthen mathematic pre-service teachers’ problem-solving competency","2025","Journal","Eurasia Journal of Mathematics Science and Technology Education","21","10","","Dankunprasert S., Cojorn K., Sonsupap K., Choompunuch B., Ranmechai S., Nonsuwan A., Tongron Y.","0","10.29333/ejmste/17179","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105017459907&origin=inward","2-s2.0-105017459907"
"Enhancing pre-service teachers’ TPACK through the integrating of community of practice and lesson study","2024","Journal","International Journal of Evaluation and Research in Education","13","6","pp. 4237–4246","Cojorn K., Seesom C.","0","10.11591/ijere.v13i6.29240","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85208540659&origin=inward","2-s2.0-85208540659"
"Examining science teachers' TPACK impact on students' post-pandemic thinking skills","2024","Journal","International Journal of Advanced and Applied Sciences","11","5","pp. 44–54","Cojorn K., Sonsupap K.","2","10.21833/ijaas.2024.05.005","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85196891150&origin=inward","2-s2.0-85196891150"
"A collaborative professional development and its impact on teachers' ability to foster higher order thinking","2024","Journal","Journal of Education and Learning","18","2","pp. 561–569","Sonsupap K., Cojorn K.","8","10.11591/edulearn.v18i2.21182","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85190153299&origin=inward","2-s2.0-85190153299"
"An Activity for Building Teaching Potential Designed on Community of Practice Cooperated with Lesson Study","2023","Journal","Journal of Curriculum and Teaching","12","4","pp. 62–70","Cojorn K., Sonsupap K.","5","10.5430/JCT.V12N4P62","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85175423693&origin=inward","2-s2.0-85175423693"
