"นักวิจัย","คณะ","ภาควิชา","Scopus ID","Scopus URL","ORCID","Documents","Citations","Cited Docs","h-index"
"คณิติน จรโคกกรวด","คณะศึกษาศาสตร์","ภาควิชาจิตวิทยาการศึกษาและการแนะแนว","58521840500","https://www.scopus.com/authid/detail.uri?authorId=58521840500","0000-0002-0918-7743","10","64","55","4"

"Title","Year","Type","Source Title","Volume","Issue","Pages","Authors","Citations","DOI","Scopus URL","EID"
"Gender differences in PERMA well-being among University students: a network analysis","2026","Journal","International Journal of Adolescence and Youth","31","1","","Yurayat P., Ahmadi Ghomroudi P., Jornkokgoud K.","1","10.1080/02673843.2025.2610644","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105026284749&origin=inward","2-s2.0-105026284749"
"A Preliminary Investigation of Tablet- and Group-based Cognitive Stimulation Therapy for Older Adults with Mild Cognitive Impairment in Thailand","2025","Journal","Journal of Cognitive Enhancement","9","4","pp. 390–405","Jornkokgoud K., Makmee P., Wongupparaj P., Grecucci A.","0","10.1007/s41465-025-00335-3","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105019343636&origin=inward","2-s2.0-105019343636"
"The PERMA well-being scale assessment in undergraduate students: confirmatory factor analysis and network analysis","2025","Journal","International Journal of Evaluation and Research in Education","14","5","pp. 3824–3837","Yurayat P., Choomphunuch B., Suk-erb W., Lebkhao D., Jornkokgoud K.","1","10.11591/ijere.v14i5.32369","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105017331823&origin=inward","2-s2.0-105017331823"
"Narcissistic and Antisocial Personality Traits Are Both Encoded in the Triple Network: Connectomics Evidence","2025","Journal","Psychophysiology","62","8","","Jornkokgoud K., Bakiaj R., Wongupparaj P., Job R., Grecucci A.","1","10.1111/psyp.70130","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105013381332&origin=inward","2-s2.0-105013381332"
"Tablet- and Group-Based Multicomponent Cognitive Stimulation for Older Adults With Mild Cognitive Impairment: Single-Group Pilot Study and Protocol for Randomized Controlled Trial","2025","Journal","Jmir Research Protocols","14","","","Jornkokgoud K., Makmee P., Wongupparaj P., Grecucci A.","4","10.2196/64465","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=86000304811&origin=inward","2-s2.0-86000304811"
"Neuropredictive Models of Personality Pathology","2025","Book","Handbook of the Biology and Pathology of Mental Disorders","","","pp. 2333–2355","Grecucci A., Rizzi R., Baggio T., Bakiaj R., Jornkokgoud K., Langerbeck M., Messina I.","2","10.1007/978-3-031-73368-0_107","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105023346517&origin=inward","2-s2.0-105023346517"
"Narcissus reflected: Grey and white matter features joint contribution to the default mode network in predicting narcissistic personality traits","2024","Journal","European Journal of Neuroscience","59","12","pp. 3273–3291","Jornkokgoud K., Baggio T., Bakiaj R., Wongupparaj P., Job R., Grecucci A.","11","10.1111/ejn.16345","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85191332360&origin=inward","2-s2.0-85191332360"
"Taboo language across the globe: A multi-lab study","2024","Journal","Behavior Research Methods","56","4","pp. 3794–3813","Sulpizio S., Günther F., Badan L., Basclain B., Brysbaert M., Chan Y.L., Ciaccio L.A., Dudschig C., Duñabeitia J.A., Fasoli F., Ferrand L., Filipović Đurđević D., Guerra E., Hollis G., Job R., Jornkokgoud K., Kahraman H., Kgolo-Lotshwao N., Kinoshita S., Kos J., Lee L., Lee N.H., Mackenzie I.G., Manojlović M., Manouilidou C., Martinic M., del Carmen Méndez M., Mišić K., Chiangmai N.N., Nikolaev A., Oganyan M., Rusconi P., Samo G., Tse C.S., Westbury C., Wongupparaj P., Yap M.J., Marelli M.","15","10.3758/s13428-024-02376-6","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85192533659&origin=inward","2-s2.0-85192533659"
"The Role of Trust in Mediating The Effect of Blockchain and E-Payment on Logistics 4.0 and Supply Chain Capabilities in Thailand","2024","Journal","Global Business and Finance Review","29","7","pp. 168–182","Ruangtip P., Rueboon W., Jornkokgoud K., Faysal M.","7","10.17549/gbfr.2024.29.7.168","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85203055200&origin=inward","2-s2.0-85203055200"
"Predicting narcissistic personality traits from brain and psychological features: A supervised machine learning approach","2023","Journal","Social Neuroscience","18","5","pp. 257–270","Jornkokgoud K., Baggio T., Faysal M., Bakiaj R., Wongupparaj P., Job R., Grecucci A.","19","10.1080/17470919.2023.2242094","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85166616136&origin=inward","2-s2.0-85166616136"
