"นักวิจัย","คณะ","ภาควิชา","Scopus ID","Scopus URL","ORCID","Documents","Citations","Cited Docs","h-index"
"มนตรี วงษ์สะพาน","คณะศึกษาศาสตร์","ภาควิชาหลักสูตรและการสอน","36631182400","https://www.scopus.com/authid/detail.uri?authorId=36631182400","0000-0002-0557-1430","10","70","59","3"

"Title","Year","Type","Source Title","Volume","Issue","Pages","Authors","Citations","DOI","Scopus URL","EID"
"Enhancing Occupational Identity and Self-Efficacy Through a Self-Education Model in Art and Design Education Aligned with Sustainable Development Goals (SDGs)","2026","Journal","Asean Journal of Educational Research and Technology","5","1","pp. 19–46","Yu X., Chano J., Wongsaphan M.","23","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105039253389&origin=inward","2-s2.0-105039253389"
"Applying Bibliometric Analysis Approaches in defining the trend regarding Teaching and Learning Chinese Speaking Skills Research","2026","Journal","International Journal of Language Education","10","2","pp. 237–249","Phuangthanasan K., Wongsaphan M., Wu C.","0","10.26858/ijole.v10i2.87758","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105045659749&origin=inward","2-s2.0-105045659749"
"Bibliometric Analysis Using VOSviewer with Publish or Perish of CEFR-based Comparison of English Language Teaching Models for Communication","2025","Journal","Asean Journal of Educational Research and Technology","4","1","pp. 1–10","Nadtayay N., Wongsaphan M.","14","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105011173005&origin=inward","2-s2.0-105011173005"
"The Application of CEFR Standard Framework in Enhancing Communicative English Competencies: The Bibliometric Analysis and Its Support to Sustainable Development Goals (SDGs)","2025","Journal","International Journal of Language Education","9","4","pp. 792–803","Nadtayay N., Wongsaphan M., Wu C.","0","10.26858/ijole.v1i2.82101","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105027694310&origin=inward","2-s2.0-105027694310"
"Respecting Diversity: A Study on the Foundations and Requirements for Developing a Curriculum to Enhance Strong Civic Competencies for Sixth-Grade Students in Municipal Schools","2025","Journal","International Journal of Learner Diversity and Identities","32","2","pp. 127–147","Shaisombat J., Wongsaphan M.","0","10.18848/2327-0128/CGP/v32i02/127-147","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105031681796&origin=inward","2-s2.0-105031681796"
"Bibliometric Analysis using VOSviewer with Publish or Perish of Chinese Speaking Skills Research","2024","Journal","Asean Journal of Educational Research and Technology","3","3","pp. 235–244","Phuangthanasan K., Wongsaphan M.","7","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105011197648&origin=inward","2-s2.0-105011197648"
"Back to Basics: Development of Additional Courses for Creative Dance in a Thai Secondary School","2023","Journal","International Journal of Education and the Arts","24","24","","Paorisankhunnakorn J., Wongsaphan M., Chanthamixay D., Boonta T.","0","10.26209/ijea24n24","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85178923046&origin=inward","2-s2.0-85178923046"
"Implementation of an Additional Course on Creative Thai Dramatic Art Skills and Appreciation of the Values of Thai Culture for Grade 7 Student Under the Secondary Educational Service Area Office Kalasin","2023","Journal","Journal of Curriculum and Teaching","12","6","pp. 78–88","Paorisankhunnakorn J., Wongsaphan M.","1","10.5430/jct.v12n6p78","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85178267137&origin=inward","2-s2.0-85178267137"
"Development of teacher's self learning package titled ""students' thinking skill assessment,""","2012","Journal","European Journal of Social Sciences","31","4","pp. 472–480","Wongsaphan M.","0","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84864980302&origin=inward","2-s2.0-84864980302"
"Developing a teacher training program in creating innovations for multimedia computer courseware with an emphasis on the analytical thinking process","2010","Journal","European Journal of Social Sciences","17","1","pp. 68–79","Wongsaphan M., Wongyai W.","0","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=78449282719&origin=inward","2-s2.0-78449282719"
