"นักวิจัย","คณะ","ภาควิชา","Scopus ID","Scopus URL","ORCID","Documents","Citations","Cited Docs","h-index"
"ประสาท เนืองเฉลิม","คณะศึกษาศาสตร์","ภาควิชาหลักสูตรและการสอน","35099135800","https://www.scopus.com/authid/detail.uri?authorId=35099135800","0000-0002-5361-0377","66","531","450","14"

"Title","Year","Type","Source Title","Volume","Issue","Pages","Authors","Citations","DOI","Scopus URL","EID"
"AI training and science student teachers’ TPACK in campus-based and distance education: a comparative study","2026","Journal","Computers and Education Open","11","","","Mnguni L., Islami R.A.Z.E., Nuangchalerm P., Sethole K., Sari I.J., Camara J.S., Van Bien N.","0","10.1016/j.caeo.2026.100410","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105046971359&origin=inward","2-s2.0-105046971359"
"Flexible Learning Program on Social Networks toward Ability to Design Innovative Teaching of Pre-Service Teachers","2026","Journal","TEM Journal","15","2","pp. 1585–1592","Vetsawat C., Nuangchalerm P.","0","10.18421/TEM152-52","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105042423499&origin=inward","2-s2.0-105042423499"
"Enhancing teachers’ instructional skills through mentorship experiences","2026","Journal","Journal of Education and Learning","20","2","pp. 801–808","Polyiem T., Nuangchalerm P., Asawaniwed P.","0","10.11591/edulearn.v20i2.23181","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105034280123&origin=inward","2-s2.0-105034280123"
"Development external quality assessment utilization model for improving internal quality assurance system of the child development center","2026","Journal","International Journal of Evaluation and Research in Education","15","2","pp. 1353–1364","Prommaboon T., Boongthong S., Pinthong K., Seesun P., Nuangchalerm P.","0","10.11591/ijere.v15i2.34726","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105036846788&origin=inward","2-s2.0-105036846788"
"A NEED ASSESSMENT OF SCIENCE TEACHER TO DEVELOP UPPER SECONDARY STUDENTS IN SCIENCE PROCESS SKILLS: A PNIMODIFIED STUDY","2026","Journal","Scientific Culture","12","1-1","pp. 94–100","Suvannasri P., Nuangchalerm P., Sari I.J.","0","10.5281/zenodo.11425115","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105029360629&origin=inward","2-s2.0-105029360629"
"Bringing Science to Life: STEM-Based Instructional Strategies for Primary Students in Thailand","2025","Journal","Online Learning in Educational Research","5","1","pp. 73–80","Nitae K., Nuangchalerm P., Safkolam R.","0","10.58524/oler.v5i1.570","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105029004458&origin=inward","2-s2.0-105029004458"
"Perceptions of Indonesian and Thai science lecturers on e-BIMO in science teacher education programs","2025","Journal","International Journal of Advanced and Applied Sciences","12","2","pp. 44–51","Sari I.J., El Islami R.A.Z., Zakaria Z., Nuangchalerm P., Suparman S., Maharani S.","0","10.21833/ijaas.2025.02.005","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85217689857&origin=inward","2-s2.0-85217689857"
"Exploring the Relationship between Prophetic Leadership and Job Satisfaction of Madrasah Ibtidaiyah Teachers in Indonesia","2025","Journal","Munaddhomah","6","1","pp. 13–28","Juhji J., Rahmatullah M., Noor W., Zuhri S., Mansur M., Nuangchalerm P.","1","10.31538/munaddhomah.v6i1.1462","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105000805083&origin=inward","2-s2.0-105000805083"
"Exploring Success Factors to Improve Preservice EFL Teacher Education Program in Thailand","2025","Journal","World Journal of English Language","15","5","pp. 335–340","Bunmy C., Nuangchalerm P., Dejtrakulwongse P.","0","10.5430/wjel.v15n5p335","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105003262118&origin=inward","2-s2.0-105003262118"
"Factors influencing elderly coping with social challenges in Thailand's aging society","2024","Journal","International Journal of Advanced and Applied Sciences","11","12","pp. 42–47","Tipayatikumporn U.U., Jindachote P., Maneechai S., Potivichayanont K., Saengchan P., Nuangchalerm P.","0","10.21833/ijaas.2024.12.005","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85211083624&origin=inward","2-s2.0-85211083624"
