"นักวิจัย","คณะ","ภาควิชา","ช่วงเวลา"
"ทั้งหมดตามตัวกรอง","คณะศึกษาศาสตร์","- เลือกทุกภาควิชา -","ทั้งหมด"

"No.","Firstname (EN)","Lastname (EN)","ชื่อ-สกุล (TH)","ภาควิชา","Documents","Citations","h-index","Scopus ID","Scopus URL","Last Scopus Fetch"
"1","Prasart ","Nuangchalerm","ประสาท เนืองเฉลิม","ภาควิชาหลักสูตรและการสอน","66","424","14","35099135800","https://www.scopus.com/authid/detail.uri?authorId=35099135800","2026-08-31 02:42:24"
"2","JIRAPORN","CHANO","จิระพร ชะโน","ภาควิชาหลักสูตรและการสอน","46","194","7","54585017800","https://www.scopus.com/authid/detail.uri?authorId=54585017800","2026-08-31 02:43:16"
"3","Bovornpot ","Choompunuch","บวรพจน์ ชมภูนุช","ภาควิชาจิตวิทยาการศึกษาและการแนะแนว","24","198","10","57214443144","https://www.scopus.com/authid/detail.uri?authorId=57214443144","2026-08-31 02:42:53"
"4","APANTEE ","POONPUTRA","อพันตรี พูลพุทธา","ภาควิชาวิจัยและพัฒนาการศึกษา","21","16","2","57919367400","https://www.scopus.com/authid/detail.uri?authorId=57919367400","2026-08-31 02:44:28"
"5","CHOWWALIT ","CHOOKHAMPAENG","ชวลิต ชูกำแพง","ภาควิชาหลักสูตรและการสอน","20","26","3","36674560300","https://www.scopus.com/authid/detail.uri?authorId=36674560300","2026-08-31 02:42:35"
"6","Chamnan ","Chinnasee","ชำนาญ ชินสีห์","ภาควิชาวิทยาศาสตร์สุขภาพและการกีฬา","18","124","6","57192270508","https://www.scopus.com/authid/detail.uri?authorId=57192270508","2026-08-31 02:51:52"
"7","AUTTHAPON ","INTHASENA","อัฐพล อินต๊ะเสนา","ภาควิชาหลักสูตรและการสอน","15","11","3","57920576600","https://www.scopus.com/authid/detail.uri?authorId=57920576600","2026-08-31 02:45:12"
"8","KANYARAT ","COJORN","กัญญารัตน์ โคจร","ภาควิชาหลักสูตรและการสอน","12","15","4","58676173800","https://www.scopus.com/authid/detail.uri?authorId=58676173800","2026-08-31 02:47:52"
"9","CHAIRAT"," CHOOSAKUL","ชัยรัตน์ ชูสกุล","ภาควิชาวิทยาศาสตร์สุขภาพและการกีฬา","10","73","5","32367577300","https://www.scopus.com/authid/detail.uri?authorId=32367577300","2026-08-31 02:43:38"
"10","KHANITIN","JORNKOKGOUD","คณิติน จรโคกกรวด","ภาควิชาจิตวิทยาการศึกษาและการแนะแนว","10","61","4","58521840500","https://www.scopus.com/authid/detail.uri?authorId=58521840500","2026-08-31 04:06:28"
"11","Montree ","Wongsaphan","มนตรี วงษ์สะพาน","ภาควิชาหลักสูตรและการสอน","10","45","3","36631182400","https://www.scopus.com/authid/detail.uri?authorId=36631182400","2026-08-31 02:44:50"
"12","Wittaya"," Worapun","วิทยา วรพันธุ์","ภาควิชาหลักสูตรและการสอน","9","8","3","58643441800","https://www.scopus.com/authid/detail.uri?authorId=58643441800","2026-08-31 02:48:03"
"13","Veena ","Prachagool","วีณา ประชากูล","ภาควิชาหลักสูตรและการสอน","8","63","5","55354066400","https://www.scopus.com/authid/detail.uri?authorId=55354066400","2026-08-31 02:43:27"
"14","KANYARAT ","SONSUPAP","กันยารัตน์ สอนสุภาพ","ภาควิชาหลักสูตรและการสอน","8","19","4","58676363900","https://www.scopus.com/authid/detail.uri?authorId=58676363900","2026-08-31 02:47:13"
"15","PHAMORNPUN ","YURAYAT","ภมรพรรณ์ ยุระยาตร์","ภาควิชาจิตวิทยาการศึกษาและการแนะแนว","7","10","2","58175451400","https://www.scopus.com/authid/detail.uri?authorId=58175451400","2026-08-31 02:50:47"
"16","WANNAPORN ","SUMRANPAT BRADY","วรรณพร สำราญพัฒน์ เบรดี","ภาควิชาวิทยาศาสตร์สุขภาพและการกีฬา","7","8","3","57224477013","https://www.scopus.com/authid/detail.uri?authorId=57224477013","2026-08-31 02:44:39"
"17","Araya ","Piyakun","อารยา ปิยะกุล","ภาควิชาจิตวิทยาการศึกษาและการแนะแนว","6","7","3","57201434084","https://www.scopus.com/authid/detail.uri?authorId=57201434084","2026-08-31 02:44:00"
"18","WIPANEE SUK - ERB","","วิภาณี สุขเอิบ","ภาควิชาจิตวิทยาการศึกษาและการแนะแนว","6","1","2","57884874000","https://www.scopus.com/authid/detail.uri?authorId=57884874000","2026-08-31 02:51:14"
"19","Yada","Thadanatthaphak","ญดา ธาดาณัฐภักดิ์","ภาควิชาวิทยาศาสตร์สุขภาพและการกีฬา","5","33","2","59422290800","https://www.scopus.com/authid/detail.uri?authorId=59422290800","2026-08-31 02:50:08"
"20","RUNGSON ","CHOMEYA","รังสรรค์ โฉมยา","ภาควิชาจิตวิทยาการศึกษาและการแนะแนว","5","3","1","56674691400","https://www.scopus.com/authid/detail.uri?authorId=56674691400","2026-08-31 02:43:49"
"21","SAWITREE","RANMECHAI","สาวิตรี ราญมีชัย","ภาควิชาวิจัยและพัฒนาการศึกษา","5","1","1","57142531300","https://www.scopus.com/authid/detail.uri?authorId=57142531300","2026-08-31 02:45:34"
"22","Prasong"," Saihong","ประสงค์ สายหงษ์","ภาควิชาหลักสูตรและการสอน","4","21","2","36761592300","https://www.scopus.com/authid/detail.uri?authorId=36761592300","2026-08-31 02:45:01"
"23","SONGSAK ","PHUSEE-ORN","ทรงศักดิ์ ภูสีอ่อน","ภาควิชาวิจัยและพัฒนาการศึกษา","4","1","1","35995809200","https://www.scopus.com/authid/detail.uri?authorId=35995809200","2026-08-31 02:44:11"
"24","PACHARAWIT ","CHANSIRISIRA","พชรวิทย์ จันทร์ศิริสิร","ภาควิชาการบริหารการศึกษา","4","1","1","55553785900","https://www.scopus.com/authid/detail.uri?authorId=55553785900","2026-08-31 02:46:18"
